source_path,type,size_bytes,included_in_package
outputs/results/seed23_S0090_shear/figures/final_u_seed23_shear.png,figure,209571,False
outputs/results/seed23_S0090_shear/figures/final_v_seed23_S0090_shear.png,figure,343456,False
outputs/results/seed23_S0090_shear/figures/final_v_seed23_shear.png,figure,343456,False
outputs/results/seed23_S0090_shear/figures/reaction_strain_seed23_S0090_shear.png,figure,62570,False
outputs/results/seed23_S0090_shear/figures/reaction_strain_seed23_shear.png,figure,62570,False
outputs/results/seed23_S0090_shear/figures/stress_strain_data_seed23_S0090_shear.csv,table,26637,False
outputs/results/seed23_S0090_shear/figures/stress_strain_data_seed23_shear.csv,table,22927,False
outputs/results/seed23_S0090_shear/figures/stress_strain_seed23_S0090_shear.png,figure,64146,False
outputs/results/seed23_S0090_shear/figures/stress_strain_seed23_shear.png,figure,64146,False
outputs/results/seed23_S0090_shear/figures/stress_strain_source_seed23_S0090_shear.txt,artifact,248,False
outputs/results/seed23_S0090_shear/figures/stress_strain_source_seed23_shear.txt,artifact,178,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0000.npz,artifact,925937,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0001.npz,artifact,923705,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0002.npz,artifact,920868,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0003.npz,artifact,919889,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0004.npz,artifact,921291,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0005.npz,artifact,921461,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0006.npz,artifact,921612,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0007.npz,artifact,921980,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0008.npz,artifact,922609,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0009.npz,artifact,923591,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0010.npz,artifact,923545,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0011.npz,artifact,923243,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0012.npz,artifact,923001,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0013.npz,artifact,922747,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0014.npz,artifact,923042,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0015.npz,artifact,923448,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0016.npz,artifact,923876,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0017.npz,artifact,923679,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0018.npz,artifact,924160,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0019.npz,artifact,924158,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0020.npz,artifact,924088,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0021.npz,artifact,923854,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0022.npz,artifact,923807,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0023.npz,artifact,923638,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0024.npz,artifact,923671,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0025.npz,artifact,923537,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0026.npz,artifact,923511,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0027.npz,artifact,923160,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0028.npz,artifact,923286,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0029.npz,artifact,923397,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0030.npz,artifact,923898,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0031.npz,artifact,923761,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0032.npz,artifact,923939,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0033.npz,artifact,923764,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0034.npz,artifact,923985,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0035.npz,artifact,923994,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0036.npz,artifact,923816,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0037.npz,artifact,923832,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0038.npz,artifact,923979,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0039.npz,artifact,923669,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0040.npz,artifact,923696,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0041.npz,artifact,923643,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0042.npz,artifact,923703,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0043.npz,artifact,923894,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0044.npz,artifact,923762,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0045.npz,artifact,923874,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0046.npz,artifact,923552,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0047.npz,artifact,923877,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0048.npz,artifact,923595,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0049.npz,artifact,923815,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0050.npz,artifact,924155,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0051.npz,artifact,924261,False
outputs/results/seed23_S0090_shear/fields_mixed_tm_step_0052.npz,artifact,923767,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0000.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0001.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0002.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0003.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0004.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0005.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0006.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0007.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0008.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0009.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0010.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0011.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0012.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0013.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0014.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0015.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0016.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0017.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0018.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0019.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0020.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0021.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0022.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0023.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0024.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0025.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0026.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0027.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0028.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0029.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0030.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0031.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0032.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0033.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0034.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0035.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0036.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0037.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0038.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0039.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0040.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0041.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0042.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0043.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0044.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0045.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0046.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0047.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0048.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0049.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0050.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0051.pt,artifact,4642162,False
outputs/checkpoints/seed23_S0090_shear/best_models/step_checkpoints/checkpoint_mixedH_TM_step_0052.pt,artifact,4642162,False
