comparison,step,diff_min,diff_p01,diff_p05,diff_median,diff_mean,diff_p95,diff_p99,diff_max,positive_diff_fraction,negative_diff_fraction,comment
C_minus_A,5,-0.031695729921921156,-0.018727979752293324,-0.008288591670861933,-0.0030998687725514174,-0.0031218664357499063,0.0001361583545076428,0.00021227840989013178,0.001273924091947265,0.3167621511735354,0.6832378488264647,Positive values mark locations where Case C exceeds the reference; negative values include the reduced A/B notch peak.
C_minus_B,5,-0.031695729921921156,-0.018727979752293324,-0.008288591670861933,-0.0030998687725514174,-0.0031218664357499063,0.0001361583545076428,0.00021227840989013178,0.001273924091947265,0.3167621511735354,0.6832378488264647,Positive values mark locations where Case C exceeds the reference; negative values include the reduced A/B notch peak.
B_minus_A,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A and B alpha fields are identical within numerical table precision.
C_minus_A,6,-0.04898425005376339,-0.022469499381259084,-0.013288999325595796,-0.004295955412089825,-0.0046842158941925015,1.4829034626018256e-05,0.0008313933358294781,0.004774880595505238,0.0624653483644428,0.9375346516355572,Positive values mark locations where Case C exceeds the reference; negative values include the reduced A/B notch peak.
C_minus_B,6,-0.04898425005376339,-0.022469499381259084,-0.013288999325595796,-0.004295955412089825,-0.0046842158941925015,1.4829034626018256e-05,0.0008313933358294781,0.004774880595505238,0.0624653483644428,0.9375346516355572,Positive values mark locations where Case C exceeds the reference; negative values include the reduced A/B notch peak.
B_minus_A,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A and B alpha fields are identical within numerical table precision.
C_minus_A,7,-0.08166962116956711,-0.03460238315165043,-0.015185022951300198,-0.00503904651850462,-0.005485318924797719,7.187370647443458e-05,0.00041281119702034493,0.007097846500982996,0.10478654592496765,0.8952134540750324,Positive values mark locations where Case C exceeds the reference; negative values include the reduced A/B notch peak.
C_minus_B,7,-0.08166962116956711,-0.03460238315165043,-0.015185022951300198,-0.00503904651850462,-0.005485318924797719,7.187370647443458e-05,0.00041281119702034493,0.007097846500982996,0.10478654592496765,0.8952134540750324,Positive values mark locations where Case C exceeds the reference; negative values include the reduced A/B notch peak.
B_minus_A,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A and B alpha fields are identical within numerical table precision.
C_minus_A,8,-0.12205927446484566,-0.04872653000056744,-0.01574792992323637,-0.006238162517547607,-0.006367917548526818,0.00012651288125198334,0.0006478623516159075,0.010742231854237616,0.1661430419515801,0.8338569580484199,Positive values mark locations where Case C exceeds the reference; negative values include the reduced A/B notch peak.
C_minus_B,8,-0.12205927446484566,-0.04872653000056744,-0.01574792992323637,-0.006238162517547607,-0.006367917548526818,0.00012651288125198334,0.0006478623516159075,0.010742231854237616,0.1661430419515801,0.8338569580484199,Positive values mark locations where Case C exceeds the reference; negative values include the reduced A/B notch peak.
B_minus_A,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A and B alpha fields are identical within numerical table precision.
