case_id,step,field_pair,pearson_correlation,spearman_correlation,top_alpha_region_drive_mean,domain_drive_mean,top_drive_region_alpha_mean,domain_alpha_mean,interpretation
A,6,alpha vs mechanics_drive,0.693861434885266,0.9384228798900457,0.000243814092061334,5.044046510401422e-05,0.02367617864491645,0.005864659795693541,Strong spatial alignment.
A,6,alpha vs elastic_energy_density,0.7162376245963891,0.9343835501992226,0.00022695193297127386,4.8946351185484334e-05,0.02365078680505942,0.005864659795693541,Strong spatial alignment.
A,6,alpha vs fracture_energy_density,0.7988027759317065,0.8897991163260411,6.632009022703514e-06,6.88282300483769e-07,0.02419767876214097,0.005864659795693541,Strong spatial alignment.
A,7,alpha vs HI,0.688067733365522,0.9408554754419546,0.0002461423632935478,4.8981881436515015e-05,0.037863540411600324,0.009295513109126277,Strong spatial alignment.
A,7,alpha vs HII,0.6771939709217646,0.9467825257145945,0.0001507337991077333,3.059655782173866e-05,0.037844928222058885,0.009295513109126277,Strong spatial alignment.
A,7,alpha vs He,0.6841137524061561,0.9428443578769719,0.0003978470936358647,7.977552261062084e-05,0.03785882816680903,0.009295513109126277,Strong spatial alignment.
A,7,alpha vs mechanics_drive,0.6841137524061561,0.9428443578769719,0.0003978470936358647,7.977552261062084e-05,0.03785882816680903,0.009295513109126277,Strong spatial alignment.
A,7,alpha vs elastic_energy_density,0.7215381623579895,0.9393012177284698,0.00035319172643523004,7.590185530442196e-05,0.037825386366391094,0.009295513109126277,Strong spatial alignment.
A,7,alpha vs fracture_energy_density,0.8010609397380005,0.8989344897939271,1.7490215662785373e-05,1.7454480925591055e-06,0.03877692494362703,0.009295513109126277,Strong spatial alignment.
A,8,alpha vs HI,0.6737762547429272,0.9397325579195774,0.00037827082235463084,7.175495146204011e-05,0.05705671107252146,0.013433226788508073,Strong spatial alignment.
A,8,alpha vs HII,0.6632792439102436,0.9453279901490577,0.00023210111357047767,4.4825233852183595e-05,0.05696624578612537,0.013433226788508073,Strong spatial alignment.
A,8,alpha vs He,0.6699169586541591,0.9415582670352425,0.0006118669835978664,0.00011686892059910981,0.05705671107252146,0.013433226788508073,Strong spatial alignment.
A,8,alpha vs mechanics_drive,0.6699169586541591,0.9415582670352425,0.0006118669835978664,0.00011686892059910981,0.05705671107252146,0.013433226788508073,Strong spatial alignment.
A,8,alpha vs elastic_energy_density,0.7291360763185025,0.9387117812094762,0.0005058036261983796,0.00010814584553330803,0.05693100037472494,0.013433226788508073,Strong spatial alignment.
A,8,alpha vs fracture_energy_density,0.8063958024235413,0.8940277436494655,4.128735914941412e-05,3.839579565617181e-06,0.05840702156271662,0.013433226788508073,Strong spatial alignment.
B,0,alpha vs HI,0.08389273388818852,0.10404484686689117,3.057347176349821e-07,2.555243803709751e-07,-6.414748233134302e-05,-6.37480467683564e-05,Little spatial alignment.
B,0,alpha vs HII,0.08178004205413301,0.0949699920700876,1.893974316411727e-07,1.583753739771976e-07,-6.453962107378013e-05,-6.37480467683564e-05,Little spatial alignment.
B,0,alpha vs He,0.0831045186115204,0.10088925861682865,4.963521255799181e-07,4.149199065488025e-07,-6.424238317005158e-05,-6.37480467683564e-05,Little spatial alignment.
B,0,alpha vs mechanics_drive,0.0831045186115204,0.10088925861682865,4.963521255799181e-07,4.149199065488025e-07,-6.424238317005158e-05,-6.37480467683564e-05,Little spatial alignment.
B,0,alpha vs elastic_energy_density,0.08361876630930304,0.1055076949280131,4.988732372478519e-07,4.1661890909461797e-07,-6.424238317005158e-05,-6.37480467683564e-05,Little spatial alignment.
B,0,alpha vs fracture_energy_density,-0.9373597802166822,-0.9736560804704537,9.62709497458985e-12,5.6158938449583226e-11,-0.00019960848538753167,-6.37480467683564e-05,Strong spatial alignment.
B,1,alpha vs HI,0.09089338045690956,0.1757692285747647,1.4808089723367337e-06,1.128000295657296e-06,-6.761429084928744e-05,-5.587054527502278e-05,Weak spatial alignment.
B,1,alpha vs HII,0.09061085353344674,0.17101854966439398,9.281598316988487e-07,7.031093755123847e-07,-6.80857713991676e-05,-5.587054527502278e-05,Weak spatial alignment.
B,1,alpha vs He,0.09082220194488402,0.174279003654612,2.4149474085541183e-06,1.8356386482151926e-06,-6.761429084928744e-05,-5.587054527502278e-05,Weak spatial alignment.
B,1,alpha vs mechanics_drive,0.09082220194488402,0.174279003654612,2.4149474085541183e-06,1.8356386482151926e-06,-6.761429084928744e-05,-5.587054527502278e-05,Weak spatial alignment.
B,1,alpha vs elastic_energy_density,0.09094508070757845,0.1733837672496427,2.4169620781538802e-06,1.8405151975116862e-06,-6.761429084928744e-05,-5.587054527502278e-05,Weak spatial alignment.
B,1,alpha vs fracture_energy_density,-0.05216755897285184,-0.8972445665800668,2.0058666439199204e-10,5.704741896142019e-11,-0.00010250665556628264,-5.587054527502278e-05,Strong spatial alignment.
B,2,alpha vs HI,0.05046126335982845,0.023701713727400566,2.6034944181003078e-06,2.6248169507594444e-06,-2.8465268524657682e-05,-4.794027619330695e-05,Little spatial alignment.
B,2,alpha vs HII,0.05002511025925547,0.020217125110457645,1.6324641152452893e-06,1.639122902817973e-06,-2.3870320211241332e-05,-4.794027619330695e-05,Little spatial alignment.
B,2,alpha vs He,0.050311933162290615,0.022650844915634048,4.246473827779883e-06,4.274498025346712e-06,-2.345840620804115e-05,-4.794027619330695e-05,Little spatial alignment.
B,2,alpha vs mechanics_drive,0.050311933162290615,0.022650844915634048,4.246473827779883e-06,4.274498025346712e-06,-2.345840620804115e-05,-4.794027619330695e-05,Little spatial alignment.
B,2,alpha vs elastic_energy_density,0.05024769599306509,0.018610345394576042,4.260922527918638e-06,4.283072366788313e-06,-2.345840620804115e-05,-4.794027619330695e-05,Little spatial alignment.
B,2,alpha vs fracture_energy_density,0.8338836584121133,-0.8770550591825788,1.4549207214199187e-09,1.1471370774725242e-10,6.101288822199462e-05,-4.794027619330695e-05,Strong spatial alignment.
B,3,alpha vs HI,0.07592238972908968,0.2523120266741007,6.190693105514161e-06,4.270052421346841e-06,-6.1926645560987376e-06,1.3278850913969487e-06,Weak spatial alignment.
B,3,alpha vs HII,0.07717739787461808,0.24970745462491578,3.904873279777358e-06,2.6690600843247465e-06,-5.588977916560967e-06,1.3278850913969487e-06,Weak spatial alignment.
B,3,alpha vs He,0.07643200883036809,0.251677004147538,1.0120719052356704e-05,6.956304868536774e-06,-5.255159330470539e-06,1.3278850913969487e-06,Weak spatial alignment.
B,3,alpha vs mechanics_drive,0.07643200883036809,0.251677004147538,1.0120719052356704e-05,6.956304868536774e-06,-5.255159330470539e-06,1.3278850913969487e-06,Weak spatial alignment.
B,3,alpha vs elastic_energy_density,0.07589514902168118,0.24854111715525837,1.009885881022855e-05,6.966998137011171e-06,-6.894869514282645e-06,1.3278850913969487e-06,Weak spatial alignment.
B,3,alpha vs fracture_energy_density,0.9310772250338986,-0.6229535276506639,1.195231584881818e-08,7.117200273984997e-10,0.0010311493147044301,1.3278850913969487e-06,Strong spatial alignment.
B,4,alpha vs HI,0.5765360049792143,0.7033310765192147,3.113454921499749e-05,7.502861599371263e-06,0.003730130602436334,0.0009118097721903909,Moderate spatial alignment.
B,4,alpha vs HII,0.5640147124977075,0.7070245406537814,1.90200660350503e-05,4.690222993694098e-06,0.003693752739352904,0.0009118097721903909,Moderate spatial alignment.
B,4,alpha vs He,0.5719078340747511,0.7046085650710588,5.027713034056815e-05,1.2223296005368411e-05,0.003730130602436334,0.0009118097721903909,Moderate spatial alignment.
B,4,alpha vs mechanics_drive,0.5719078340747511,0.7046085650710588,5.027713034056815e-05,1.2223296005368411e-05,0.003730130602436334,0.0009118097721903909,Moderate spatial alignment.
B,4,alpha vs elastic_energy_density,0.5738838944806433,0.6948500645898973,4.952508880635386e-05,1.217581570465912e-05,0.0036983984564391815,0.0009118097721903909,Moderate spatial alignment.
B,4,alpha vs fracture_energy_density,0.7614948426485375,0.569202819393708,3.191681307765811e-07,3.216515567378496e-08,0.004831740864839514,0.0009118097721903909,Strong spatial alignment.
B,5,alpha vs HI,0.6709954080028631,0.9227463949041622,8.176414761326474e-05,1.7193851114623887e-05,0.013269208555498136,0.0030953725052760965,Strong spatial alignment.
B,5,alpha vs HII,0.6618426828369416,0.9270486318769046,5.0073987796961496e-05,1.0745468646357098e-05,0.01324780454783532,0.0030953725052760965,Strong spatial alignment.
B,5,alpha vs He,0.6676973066044546,0.9242227997330178,0.00013216067980371626,2.800853513359392e-05,0.013269208555498136,0.0030953725052760965,Strong spatial alignment.
B,5,alpha vs mechanics_drive,0.6676973066044546,0.9242227997330178,0.00013216067980371626,2.800853513359392e-05,0.013269208555498136,0.0030953725052760965,Strong spatial alignment.
B,5,alpha vs elastic_energy_density,0.677949488083352,0.9189373804242805,0.00012718631924597644,2.7580065631427546e-05,0.01326380967853309,0.0030953725052760965,Strong spatial alignment.
B,5,alpha vs fracture_energy_density,0.8113134631504151,0.8162927747038746,2.0058897175625226e-06,2.0977012036721805e-07,0.013672581372088393,0.0030953725052760965,Strong spatial alignment.
B,6,alpha vs HI,0.6974314827570599,0.9365343603423413,0.00015088017380213384,3.096713346689333e-05,0.023673016227424366,0.005864659795693541,Strong spatial alignment.
B,6,alpha vs HII,0.6875351002466519,0.9421921451284956,9.233912851707717e-05,1.934869975131888e-05,0.02365463045924022,0.005864659795693541,Strong spatial alignment.
B,6,alpha vs He,0.693861434885266,0.9384228798900457,0.000243814092061334,5.044046510401422e-05,0.02367617864491645,0.005864659795693541,Strong spatial alignment.
B,6,alpha vs mechanics_drive,0.693861434885266,0.9384228798900457,0.000243814092061334,5.044046510401422e-05,0.02367617864491645,0.005864659795693541,Strong spatial alignment.
B,6,alpha vs elastic_energy_density,0.7162376245963891,0.9343835501992226,0.00022695193297127386,4.8946351185484334e-05,0.02365078680505942,0.005864659795693541,Strong spatial alignment.
B,6,alpha vs fracture_energy_density,0.7988027759317065,0.8897991163260411,6.632009022703514e-06,6.88282300483769e-07,0.02419767876214097,0.005864659795693541,Strong spatial alignment.
B,7,alpha vs HI,0.688067733365522,0.9408554754419546,0.0002461423632935478,4.8981881436515015e-05,0.037863540411600324,0.009295513109126277,Strong spatial alignment.
B,7,alpha vs HII,0.6771939709217646,0.9467825257145945,0.0001507337991077333,3.059655782173866e-05,0.037844928222058885,0.009295513109126277,Strong spatial alignment.
B,7,alpha vs He,0.6841137524061561,0.9428443578769719,0.0003978470936358647,7.977552261062084e-05,0.03785882816680903,0.009295513109126277,Strong spatial alignment.
B,7,alpha vs mechanics_drive,0.6841137524061561,0.9428443578769719,0.0003978470936358647,7.977552261062084e-05,0.03785882816680903,0.009295513109126277,Strong spatial alignment.
B,7,alpha vs elastic_energy_density,0.7215381623579895,0.9393012177284698,0.00035319172643523004,7.590185530442196e-05,0.037825386366391094,0.009295513109126277,Strong spatial alignment.
B,7,alpha vs fracture_energy_density,0.8010609397380005,0.8989344897939271,1.7490215662785373e-05,1.7454480925591055e-06,0.03877692494362703,0.009295513109126277,Strong spatial alignment.
B,8,alpha vs HI,0.6737762547429272,0.9397325579195774,0.00037827082235463084,7.175495146204011e-05,0.05705671107252146,0.013433226788508073,Strong spatial alignment.
B,8,alpha vs HII,0.6632792439102436,0.9453279901490577,0.00023210111357047767,4.4825233852183595e-05,0.05696624578612537,0.013433226788508073,Strong spatial alignment.
B,8,alpha vs He,0.6699169586541591,0.9415582670352425,0.0006118669835978664,0.00011686892059910981,0.05705671107252146,0.013433226788508073,Strong spatial alignment.
B,8,alpha vs mechanics_drive,0.6699169586541591,0.9415582670352425,0.0006118669835978664,0.00011686892059910981,0.05705671107252146,0.013433226788508073,Strong spatial alignment.
B,8,alpha vs elastic_energy_density,0.7291360763185025,0.9387117812094762,0.0005058036261983796,0.00010814584553330803,0.05693100037472494,0.013433226788508073,Strong spatial alignment.
B,8,alpha vs fracture_energy_density,0.8063958024235413,0.8940277436494655,4.128735914941412e-05,3.839579565617181e-06,0.05840702156271662,0.013433226788508073,Strong spatial alignment.
C,0,alpha vs HI,-0.12382043744189884,-0.41431973192741645,1.9590691322103334e-06,1.5216825496667082e-06,-0.0003891760807768339,-0.0003666102705345728,Moderate spatial alignment.
C,0,alpha vs HII,-0.13488124783871644,-0.4921454885213843,6.649965569889954e-07,5.63808221929671e-07,-0.00041519088907791493,-0.0003666102705345728,Moderate spatial alignment.
C,0,alpha vs He,-0.12787633327063228,-0.43528571828758483,2.6283491769352226e-06,2.0891224622674964e-06,-0.0003907116440981171,-0.0003666102705345728,Moderate spatial alignment.
C,0,alpha vs mechanics_drive,-0.12787633327063228,-0.43528571828758483,2.6283491769352226e-06,2.0891224622674964e-06,-0.0003907116440981171,-0.0003666102705345728,Moderate spatial alignment.
C,0,alpha vs elastic_energy_density,-0.14725262419325744,-0.5084488811995159,3.299853439767059e-06,2.8066785470809386e-06,-0.00041905689240962515,-0.0003666102705345728,Moderate spatial alignment.
C,0,alpha vs fracture_energy_density,-0.6060727626146084,-0.9510842642730438,1.9733256794645685e-09,2.2143092879467383e-09,-0.0011592978507201307,-0.0003666102705345728,Strong spatial alignment.
C,1,alpha vs HI,-0.10616694761972895,-0.3914706037298026,1.2643524814282196e-06,1.534273551894288e-06,-0.00017563991141320823,-0.00020686504730341355,Weak spatial alignment.
C,1,alpha vs HII,-0.11204109560213442,-0.4566955734386729,4.542175372060415e-07,5.832163098121753e-07,-0.00019966672368264306,-0.00020686504730341355,Moderate spatial alignment.
C,1,alpha vs He,-0.10848183323572705,-0.41030064106169145,1.7214958031517505e-06,2.121246566587183e-06,-0.00018231005682154623,-0.00020686504730341355,Moderate spatial alignment.
C,1,alpha vs mechanics_drive,-0.10848183323572705,-0.41030064106169145,1.7214958031517505e-06,2.121246566587183e-06,-0.00018231005682154623,-0.00020686504730341355,Moderate spatial alignment.
C,1,alpha vs elastic_energy_density,-0.0982134037627697,-0.4163551299736681,1.8240839692597981e-06,2.193814630593215e-06,-0.00018307801841447178,-0.00020686504730341355,Moderate spatial alignment.
C,1,alpha vs fracture_energy_density,-0.3278963923847667,-0.9568914948785334,1.2816890007373555e-09,7.819302748298941e-10,-0.0007131393347837622,-0.00020686504730341355,Strong spatial alignment.
C,2,alpha vs HI,-0.1315580967891896,-0.4457818532921091,1.0082409217150964e-06,1.5383920528666061e-06,-0.00017014638130077097,-0.00016905984502315973,Moderate spatial alignment.
C,2,alpha vs HII,-0.13765618360313736,-0.5096900469412344,3.652743054997146e-07,5.86028810988313e-07,-0.00019132883041603937,-0.00016905984502315973,Moderate spatial alignment.
C,2,alpha vs He,-0.13405806299626055,-0.4650320900091459,1.375868099146539e-06,2.128195684627711e-06,-0.0001735328464696658,-0.00016905984502315973,Moderate spatial alignment.
C,2,alpha vs mechanics_drive,-0.13405806299626055,-0.4650320900091459,1.375868099146539e-06,2.128195684627711e-06,-0.0001735328464696658,-0.00016905984502315973,Moderate spatial alignment.
C,2,alpha vs elastic_energy_density,-0.1313141056190516,-0.46610165487199423,1.4297529890316266e-06,2.1439533902645727e-06,-0.00017325199235787415,-0.00016905984502315973,Moderate spatial alignment.
C,2,alpha vs fracture_energy_density,-0.23574677596887295,-0.9556636737278971,1.0590335504425128e-09,5.3447785380126e-10,-0.0005838087767644397,-0.00016905984502315973,Strong spatial alignment.
C,3,alpha vs HI,-0.06506168081362258,-0.26351377192286557,1.7390713321298165e-06,1.5400718106517411e-06,-0.0001214275861930487,-0.00012580935092926376,Weak spatial alignment.
C,3,alpha vs HII,-0.08549800249364417,-0.3435110204042551,6.131043227466947e-07,5.872311243687276e-07,-0.00013862801961127386,-0.00012580935092926376,Weak spatial alignment.
C,3,alpha vs He,-0.07172170271298621,-0.2870610137606432,2.356124884194003e-06,2.1310855009765347e-06,-0.00012410083291961938,-0.00012580935092926376,Weak spatial alignment.
C,3,alpha vs mechanics_drive,-0.07172170271298621,-0.2870610137606432,2.356124884194003e-06,2.1310855009765347e-06,-0.00012410083291961938,-0.00012580935092926376,Weak spatial alignment.
C,3,alpha vs elastic_energy_density,-0.0701824757219862,-0.2889767867283881,2.390000673387056e-06,2.1428889580701502e-06,-0.00012498075874716496,-0.00012580935092926376,Weak spatial alignment.
C,3,alpha vs fracture_energy_density,0.16841780630761788,-0.9543476030398012,1.1989454342354445e-09,3.3326445298391077e-10,-0.00043336924402184127,-0.00012580935092926376,Strong spatial alignment.
C,4,alpha vs HI,-0.017779575153078733,-0.34768848148251913,1.5218590943852393e-06,1.5425098285167781e-06,-6.091501333561126e-05,-7.60360830343559e-05,Weak spatial alignment.
C,4,alpha vs HII,-0.03836782932068346,-0.41489749437813983,5.385408162402013e-07,5.90826547125332e-07,-6.78347553955275e-05,-7.60360830343559e-05,Moderate spatial alignment.
C,4,alpha vs He,-0.024270267401043794,-0.36808359074442537,2.063868852367744e-06,2.137142100725521e-06,-6.308044881680834e-05,-7.60360830343559e-05,Weak spatial alignment.
C,4,alpha vs mechanics_drive,-0.024270267401043794,-0.36808359074442537,2.063868852367744e-06,2.137142100725521e-06,-6.308044881680834e-05,-7.60360830343559e-05,Weak spatial alignment.
C,4,alpha vs elastic_energy_density,-0.023200835685553485,-0.37081661487950546,2.0919260189520536e-06,2.149607337482342e-06,-6.373817328877216e-05,-7.60360830343559e-05,Weak spatial alignment.
C,4,alpha vs fracture_energy_density,0.533670573694,-0.8883292574271946,1.6929902648829045e-09,1.8836592996821626e-10,-0.00014343706030605665,-7.60360830343559e-05,Strong spatial alignment.
C,5,alpha vs HI,0.02204424957802149,-0.20749783091662832,5.848527150936448e-06,3.931492896292065e-06,-6.352326551352295e-05,-2.649393047380948e-05,Weak spatial alignment.
C,5,alpha vs HII,0.01733934035496921,-0.20099996890268348,3.60414165703565e-06,2.4453896853967546e-06,-7.075533473931749e-05,-2.649393047380948e-05,Weak spatial alignment.
C,5,alpha vs He,0.020237734722989884,-0.20462199559921895,9.475884375844466e-06,6.392634207134596e-06,-6.27398963957113e-05,-2.649393047380948e-05,Weak spatial alignment.
C,5,alpha vs mechanics_drive,0.020237734722989884,-0.20462199559921895,9.475884375844466e-06,6.392634207134596e-06,-6.27398963957113e-05,-2.649393047380948e-05,Weak spatial alignment.
C,5,alpha vs elastic_energy_density,0.019874657566415533,-0.20865303574560554,9.477948750447667e-06,6.412083395696655e-06,-6.27398963957113e-05,-2.649393047380948e-05,Weak spatial alignment.
C,5,alpha vs fracture_energy_density,0.8879958905270827,-0.6377443725415826,1.277638161032648e-08,7.295344740990795e-10,0.00082564534681954,-2.649393047380948e-05,Strong spatial alignment.
C,6,alpha vs HI,0.4635833506411172,0.7184326086212229,4.484589282618568e-05,1.1495805403815114e-05,0.005049669423298227,0.0011804439015010387,Moderate spatial alignment.
C,6,alpha vs HII,0.45762002913752636,0.7188975917297726,2.7607149901079263e-05,7.184509799765539e-06,0.005028915559552937,0.0011804439015010387,Moderate spatial alignment.
C,6,alpha vs He,0.46140466450528345,0.7187530783723017,7.263087024253643e-05,1.8726593183813284e-05,0.005049669423298227,0.0011804439015010387,Moderate spatial alignment.
C,6,alpha vs mechanics_drive,0.46140466450528345,0.7187530783723017,7.263087024253643e-05,1.8726593183813284e-05,0.005049669423298227,0.0011804439015010387,Moderate spatial alignment.
C,6,alpha vs elastic_energy_density,0.4613639984622161,0.713914414074142,7.119429927206176e-05,1.864029617970957e-05,0.005049669423298227,0.0011804439015010387,Moderate spatial alignment.
C,6,alpha vs fracture_energy_density,0.8519871641954757,0.5023747533478125,6.182793085084613e-07,6.098083200570998e-08,0.007549545648628055,0.0011804439015010387,Strong spatial alignment.
C,7,alpha vs HI,0.5241126714955897,0.8204959129973846,9.869621891878245e-05,2.288984671713648e-05,0.013492517324501298,0.0038101941843285587,Strong spatial alignment.
C,7,alpha vs HII,0.5207002444197594,0.8208344228360116,6.090471588054058e-05,1.4320000009378764e-05,0.013352857263435736,0.0038101941843285587,Strong spatial alignment.
C,7,alpha vs He,0.5229310169482666,0.8206014400867062,0.00015999324241034306,3.730208688387118e-05,0.013436404940057064,0.0038101941843285587,Strong spatial alignment.
C,7,alpha vs mechanics_drive,0.5229310169482666,0.8206014400867062,0.00015999324241034306,3.730208688387118e-05,0.013436404940057064,0.0038101941843285587,Strong spatial alignment.
C,7,alpha vs elastic_energy_density,0.5259428481484978,0.8143498691372184,0.0001546443977959352,3.6734968187043e-05,0.013385866205482932,0.0038101941843285587,Strong spatial alignment.
C,7,alpha vs fracture_energy_density,0.8885599260725441,0.7998213059596745,1.9778577148655866e-06,2.927101849868468e-07,0.014995299434337448,0.0038101941843285587,Strong spatial alignment.
C,8,alpha vs HI,0.5755783720642275,0.8816374321528828,0.0001723082368564427,3.8445057737513415e-05,0.024311801597366033,0.007065309239981253,Strong spatial alignment.
C,8,alpha vs HII,0.572196233963436,0.8812971313034965,0.00010656644616661598,2.4058151020181565e-05,0.024313695013962987,0.007065309239981253,Strong spatial alignment.
